browseWithDriver$suspendImpl:193, InteractiveBrowserEmulator (ai.platon.pulsar.protocol.browser.emulator.impl)
visit$suspendImpl:62, InteractiveBrowserEmulator (ai.platon.pulsar.protocol.browser.emulator.impl)
doFetch:104, BrowserEmulatedFetcherImpl (ai.platon.pulsar.protocol.browser.emulator.impl)
invokeSuspend:93, BrowserEmulatedFetcherImpl$fetchTaskDeferred$2 (ai.platon.pulsar.protocol.browser.emulator.impl)
invokeSuspend:356, MultiPrivacyContextManager$doRun$result$1 (ai.platon.pulsar.protocol.browser.emulator.context)
invokeSuspend:75, WebDriverContext$run$2 (ai.platon.pulsar.protocol.browser.emulator.context)
invokeSuspend:171, WebDriverPoolManager$runCancelable$deferred$1$1 (ai.platon.pulsar.protocol.browser.driver)
visit$suspendImpl:62, InteractiveBrowserEmulator (ai.platon.pulsar.protocol.browser.emulator.impl)
doFetch:104, BrowserEmulatedFetcherImpl (ai.platon.pulsar.protocol.browser.emulator.impl)
access$doFetch:31, BrowserEmulatedFetcherImpl (ai.platon.pulsar.protocol.browser.emulator.impl)
invokeSuspend:93, BrowserEmulatedFetcherImpl$fetchTaskDeferred$2 (ai.platon.pulsar.protocol.browser.emulator.impl)
invokeSuspend:356, MultiPrivacyContextManager$doRun$result$1 (ai.platon.pulsar.protocol.browser.emulator.context)
invokeSuspend:75, WebDriverContext$run$2 (ai.platon.pulsar.protocol.browser.emulator.context)
invokeSuspend:171, WebDriverPoolManager$runCancelable$deferred$1$1 (ai.platon.pulsar.protocol.browser.driver)
resumeWith:33, BaseContinuationImpl (kotlin.coroutines.jvm.internal)
run:106, DispatchedTask (kotlinx.coroutines)
runSafely:570, CoroutineScheduler (kotlinx.coroutines.scheduling)
executeTask:750, CoroutineScheduler$Worker (kotlinx.coroutines.scheduling)
runWorker:677, CoroutineScheduler$Worker (kotlinx.coroutines.scheduling)
run:664, CoroutineScheduler$Worker (kotlinx.coroutines.scheduling)
 - Coroutine Creation Stack Trace
createCoroutineUnintercepted:122, IntrinsicsKt__IntrinsicsJvmKt (kotlin.coroutines.intrinsics)
startCoroutineCancellable:30, CancellableKt (kotlinx.coroutines.intrinsics)
async$default:82, BuildersKt__Builders_commonKt (kotlinx.coroutines)
async$default:1, BuildersKt (kotlinx.coroutines)
invokeSuspend:171, WebDriverPoolManager$runCancelable$deferred$1 (ai.platon.pulsar.protocol.browser.driver)
invoke:-1, WebDriverPoolManager$runCancelable$deferred$1 (ai.platon.pulsar.protocol.browser.driver)
invoke:-1, WebDriverPoolManager$runCancelable$deferred$1 (ai.platon.pulsar.protocol.browser.driver)
startUndispatchedOrReturn:89, UndispatchedKt (kotlinx.coroutines.intrinsics)
supervisorScope:61, SupervisorKt (kotlinx.coroutines)
runCancelable:168, WebDriverPoolManager (ai.platon.pulsar.protocol.browser.driver)
